Autism: Dorea, Coprococcus, Alistipes, Enterococcus, Parabacteroides, Shigella, Roseburia, Blautia, Faecalibacterium prausnitzii, Enterobacteriaceae, Ruminococcaceae, Lachnospiraceae, Faecalibacterium, Bacteroides fragilis, Phascolarctobacterium, Klebsiella, Ruminococcus, Clostridium, Collinsella, Bacteroides
Antrochoanal polyps: Rhinovirus, Varibaculum cambriense, Moraxella nonliquefaciens, Human herpesvirus 6, Propionimicrobium lymphophilum, Dolosigranulum pigrum, Moraxella catarrhalis, Mycoplasma pneumoniae, Globicatella, Aspergillus fumigatus, Lactobacillus sakei, Staphylococcus epidermidis, Corynebacterium striatum, Propionibacterium acnes, Lactobacillus, Rhizophagus, Bipolaris, Corynebacterium, Prevotella, Streptococcus
Primary immune thrombocytopenia: Blautia, Bacteroides, Faecalibacterium, Roseburia, Faecalibacterium prausnitzii, Lactobacillus, Ruminococcus, Coprococcus, Bifidobacterium, Enterococcus, Dorea, Streptococcus, Parabacteroides, Prevotella, Enterobacteriaceae, Ruminococcaceae, Clostridium, Corynebacterium, Veillonella, Alistipes
Spleen deficiency syndrome: Leuconostoc holzapfelii, Ruminococcus gnavus, Corynebacterium, Leuconostoc citreum, Prevotella, Faecalibacterium prausnitzii, Prevotella copri, Streptococcus, Bacteroides, Veillonella, Blautia, Oscillibacter valericigenes, Bifidobacterium, Lactobacillus, Faecalibacterium, Roseburia, Ruminococcus bromii, Anaerostipes, Enterobacteriaceae, Lactococcus garvieae
Pulmonary arterial hypertension: Ruminococcus gnavus, Blautia, Faecalibacterium, Bacteroides, Roseburia, Coprococcus, Dorea, Faecalibacterium prausnitzii, Ruminococcus, Enterococcus, Parabacteroides, Lactobacillus, Bifidobacterium, Streptococcus, Alistipes, Enterobacteriaceae, Akkermansia muciniphila, Ruminococcaceae, Corynebacterium, Prevotella
Acute fatty liver: Clostridium cluster IV, Clostridiales, Fusicatenibacter, Coprobacillus, Clostridium cluster XIVa, Flavonifractor, Blautia, Lachnoclostridium, Eggerthella, Faecalibacterium, Coprococcus, Firmicutes, Ruminococcus, Dorea, Bacteroidetes, Gemmiger, Parabacteroides, Bacteroides, Enterococcus, Butyricicoccus
Excessive vomiting: Clostridium cluster IV, Clostridiales, Fusicatenibacter, Coprobacillus, Clostridium cluster XIVa, Flavonifractor, Blautia, Lachnoclostridium, Eggerthella, Faecalibacterium, Coprococcus, Firmicutes, Ruminococcus, Dorea, Bacteroidetes, Gemmiger, Parabacteroides, Bacteroides, Enterococcus, Butyricicoccus
Chronic stress: Blautia, Faecalibacterium, Bacteroides, Roseburia, Faecalibacterium prausnitzii, Ruminococcus, Coprococcus, Enterococcus, Parabacteroides, Bifidobacterium, Dorea, Streptococcus, Enterobacteriaceae, Lactobacillus, Prevotella, Clostridium, Ruminococcaceae, Alistipes, Staphylococcus, Veillonella
Acute lymphoblastic leukemia: Faecalibacterium, Blautia, Ruminococcus, Bacteroides, Parabacteroides, Roseburia, Enterococcus, Coprococcus, Faecalibacterium prausnitzii, Bifidobacterium, Dorea, Clostridium, Enterobacteriaceae, Ruminococcaceae, Alistipes, Streptococcus, Prevotella, Lachnospiraceae, Lactobacillus, Staphylococcus
Biliary tract cancer: Corynebacterium, Lactobacillus, Staphylococcus epidermidis, Prevotella, Veillonella, Streptococcus, Propionibacterium acnes, Gardnerella vaginalis, Lactobacillus crispatus, Prevotella copri, Neisseria, Lactobacillus iners, Bifidobacterium, Haemophilus parainfluenzae, Fusobacterium, Haemophilus, Bacteroides, Veillonella parvula, Staphylococcus aureus, Firmicutes
Kidney stone with hypertension: Parabacteroides, Firmicutes, Lactobacillus, Alistipes, Megasphaera, Roseburia, Bacteroidetes, Ruminococcus, Blautia, Bacteroides, Lachnoclostridium, Enterococcus, Clostridium, Faecalibacterium, Coprococcus, Dorea, Clostridium cluster IV, Clostridiales, Bacteroides vulgatus, Shigella
Bleeding gum: Prevotella, Streptococcus, Corynebacterium, Lactobacillus, Veillonella, Bifidobacterium, Bacteroides, Staphylococcus, Enterobacteriaceae, Faecalibacterium prausnitzii, Blautia, Faecalibacterium, Ruminococcaceae, Haemophilus, Roseburia, Neisseria, Acinetobacter, Ruminococcus, Fusobacterium, Bacteroidetes
Cystic fibrosis exacerbation: Lactobacillus, Bacteroides, Streptococcus, Blautia, Faecalibacterium, Prevotella, Bifidobacterium, Roseburia, Corynebacterium, Faecalibacterium prausnitzii, Veillonella, Staphylococcus, Ruminococcus, Enterobacteriaceae, Ruminococcaceae, Bacteroidetes, Enterococcus, Acinetobacter, Haemophilus, Parabacteroides
Stevens-Johnson syndrome: Ruminococcus, Roseburia, Bacteroides, Faecalibacterium, Parabacteroides, Enterobacteriaceae, Blautia, Ruminococcaceae, Bifidobacterium, Enterococcus, Staphylococcus, Faecalibacterium prausnitzii, Clostridium, Acinetobacter, Lachnospiraceae, Alistipes, Streptococcus, Coprococcus, Dialister, Prevotella
Pressure ulcers: Parabacteroides, Blautia, Coprococcus, Dorea, Enterococcus, Roseburia, Faecalibacterium, Ruminococcus, Bacteroides, Alistipes, Faecalibacterium prausnitzii, Enterobacteriaceae, Clostridium, Ruminococcaceae, Bifidobacterium, Lachnospiraceae, Ruminococcus gnavus, Lactobacillus, Shigella, Megamonas
Genitourinary lichen sclerosus: Lactobacillus, Prevotella, Streptococcus, Corynebacterium, Veillonella, Bacteroides, Bifidobacterium, Blautia, Faecalibacterium prausnitzii, Faecalibacterium, Staphylococcus, Roseburia, Enterobacteriaceae, Ruminococcaceae, Haemophilus, Neisseria, Acinetobacter, Ruminococcus, Bacteroidetes, Enterococcus
Folliculitis decalvans: Corynebacterium, Prevotella, Streptococcus, Veillonella, Lactobacillus, Bifidobacterium, Bacteroides, Neisseria, Haemophilus, Faecalibacterium prausnitzii, Staphylococcus, Fusobacterium, Enterobacteriaceae, Prevotella copri, Staphylococcus epidermidis, Ruminococcaceae, Propionibacterium acnes, Blautia, Porphyromonas, Bacteroidetes
Nasolacrimal duct obstruction: Prevotella, Streptococcus, Lactobacillus, Corynebacterium, Veillonella, Bacteroides, Bifidobacterium, Faecalibacterium prausnitzii, Blautia, Faecalibacterium, Staphylococcus, Enterobacteriaceae, Roseburia, Ruminococcaceae, Haemophilus, Neisseria, Acinetobacter, Ruminococcus, Enterococcus, Fusobacterium
Chronic urticaria: Streptococcus, Prevotella, Lactobacillus, Bacteroides, Corynebacterium, Bifidobacterium, Veillonella, Blautia, Faecalibacterium, Faecalibacterium prausnitzii, Roseburia, Staphylococcus, Enterobacteriaceae, Ruminococcaceae, Ruminococcus, Haemophilus, Acinetobacter, Enterococcus, Neisseria, Bacteroidetes
Migraine: Bacteroides, Prevotella, Streptococcus, Lactobacillus, Corynebacterium, Bifidobacterium, Roseburia, Faecalibacterium prausnitzii, Blautia, Faecalibacterium, Veillonella, Enterobacteriaceae, Staphylococcus, Ruminococcaceae, Ruminococcus, Enterococcus, Acinetobacter, Lachnospiraceae, Parabacteroides, Clostridium
Idiopathic central precocious puberty: Blautia, Dorea, Ruminococcus gnavus, Coprococcus, Faecalibacterium, Faecalibacterium prausnitzii, Roseburia, Enterococcus, Ruminococcus, Parabacteroides, Bacteroides, Alistipes, Enterobacteriaceae, Ruminococcaceae, Bifidobacterium, Clostridium, Megamonas, Phascolarctobacterium, Streptococcus, Shigella
Human end-stage renal disease: Parabacteroides, Enterococcus, Ruminococcus, Roseburia, Coprococcus, Dorea, Clostridium, Alistipes, Megamonas, Faecalibacterium, Faecalibacterium prausnitzii, Blautia, Anaerostipes, Phascolarctobacterium, Bacteroides, Lachnospiraceae, Shigella, Enterobacteriaceae, Akkermansia, Ruminococcaceae
Gastrointestinal follicular lymphoma: Prevotella, Corynebacterium, Streptococcus, Veillonella, Lactobacillus, Bifidobacterium, Bacteroides, Neisseria, Haemophilus, Faecalibacterium prausnitzii, Staphylococcus, Enterobacteriaceae, Fusobacterium, Ruminococcaceae, Blautia, Roseburia, Faecalibacterium, Acinetobacter, Porphyromonas, Actinomyces
Invasive colorectal cancer: Bacteroides, Ruminococcus, Roseburia, Bifidobacterium, Faecalibacterium, Prevotella, Dialister, Enterobacteriaceae, Ruminococcaceae, Staphylococcus, Streptococcus, Parabacteroides, Clostridium, Enterococcus, Lachnospiraceae, Acinetobacter, Faecalibacterium prausnitzii, Veillonella, Blautia, Haemophilus
E-smoking: Prevotella pallens, Granulicatella adiacens, Campylobacter rectus, Rothia dentocariosa, Lactobacillus iners, Streptococcus gordonii, Campylobacter concisus, Porphyromonas endodontalis, Haemophilus influenzae, Gemella haemolysans, Catonella morbi, Shuttleworthia satelles, Neisseria subflava, Neisseria flavescens, Treponema socranskii, Atopobium vaginae, Dolosigranulum, Lactobacillus crispatus, Gardnerella vaginalis, Prevotella nanceiensis
Traumatic Brain Injury: Prevotella, Lactobacillus, Bacteroides, Streptococcus, Veillonella, Bifidobacterium, Roseburia, Faecalibacterium prausnitzii, Corynebacterium, Haemophilus, Staphylococcus, Faecalibacterium, Enterobacteriaceae, Ruminococcus, Dialister, Porphyromonas, Ruminococcaceae, Blautia, Neisseria, Clostridium
Oropharyngeal cancer: Lactobacillus iners, Prevotella pallens, Granulicatella adiacens, Streptococcus gordonii, Campylobacter rectus, Porphyromonas gingivalis, Gardnerella vaginalis, Rothia mucilaginosa, Streptococcus oralis, Comamonas, Haemophilus influenzae, Lactobacillus crispatus, Porphyromonas endodontalis, Atopobium vaginae, Campylobacter concisus, Veillonella parvula, Prevotella nanceiensis, Treponema socranskii, Lautropia, Haemophilus parainfluenzae
Hypopharyngeal cancer: Prevotella pallens, Lactobacillus iners, Streptococcus gordonii, Granulicatella adiacens, Campylobacter rectus, Haemophilus influenzae, Campylobacter concisus, Atopobium vaginae, Porphyromonas endodontalis, Rothia dentocariosa, Dolosigranulum, Gardnerella vaginalis, Lactobacillus crispatus, Rothia mucilaginosa, Treponema socranskii, Prevotella nanceiensis, Streptococcus oralis, Atopobium parvulum, Prevotella bivia, Neisseria flavescens
Neisseria gonorrhoeae infection: Haemophilus parainfluenzae, Rothia mucilaginosa, Propionibacterium acnes, Staphylococcus epidermidis, Haemophilus influenzae, Veillonella dispar, Leptotrichia, Veillonella, Prevotella melaninogenica, Prevotella, Porphyromonas gingivalis, Lactobacillus, Corynebacterium, Lactobacillus iners, Gardnerella vaginalis, Fusobacterium, Streptococcus, Corynebacterium propinquum, Granulicatella, Neisseria
Dry eye syndrome: Bacteroides, Roseburia, Faecalibacterium prausnitzii, Faecalibacterium, Blautia, Bifidobacterium, Prevotella, Streptococcus, Ruminococcus, Enterobacteriaceae, Enterococcus, Lactobacillus, Ruminococcaceae, Corynebacterium, Veillonella, Parabacteroides, Clostridium, Coprococcus, Staphylococcus, Lachnospiraceae
Vulvodynia: Corynebacterium, Prevotella, Streptococcus, Lactobacillus, Veillonella, Bifidobacterium, Bacteroides, Neisseria, Haemophilus, Staphylococcus, Faecalibacterium prausnitzii, Fusobacterium, Staphylococcus epidermidis, Propionibacterium acnes, Prevotella copri, Enterobacteriaceae, Ruminococcaceae, Blautia, Bacteroidetes, Porphyromonas
Normal weight obesity: Lactobacillus, Bacteroides, Blautia, Faecalibacterium, Faecalibacterium prausnitzii, Roseburia, Streptococcus, Prevotella, Bifidobacterium, Corynebacterium, Ruminococcus, Veillonella, Enterobacteriaceae, Enterococcus, Parabacteroides, Coprococcus, Ruminococcaceae, Staphylococcus, Ruminococcus gnavus, Dorea
Fatigue: Bacteroides, Lactobacillus, Streptococcus, Prevotella, Blautia, Faecalibacterium, Faecalibacterium prausnitzii, Bifidobacterium, Roseburia, Corynebacterium, Veillonella, Enterobacteriaceae, Ruminococcus, Staphylococcus, Ruminococcaceae, Enterococcus, Acinetobacter, Parabacteroides, Coprococcus, Haemophilus
Covid-19: Blautia, Faecalibacterium, Roseburia, Bacteroides, Ruminococcus, Coprococcus, Faecalibacterium prausnitzii, Enterococcus, Dorea, Parabacteroides, Enterobacteriaceae, Bifidobacterium, Ruminococcaceae, Alistipes, Ruminococcus gnavus, Streptococcus, Lactobacillus, Corynebacterium, Prevotella, Clostridium
H1N1 Influenza: Blautia, Bacteroides, Lactobacillus, Faecalibacterium, Streptococcus, Bifidobacterium, Prevotella, Roseburia, Faecalibacterium prausnitzii, Corynebacterium, Enterobacteriaceae, Veillonella, Ruminococcus, Ruminococcaceae, Staphylococcus, Enterococcus, Acinetobacter, Coprococcus, Bacteroidetes, Parabacteroides
Recurrent aphthous stomatitis : Corynebacterium, Prevotella, Streptococcus, Veillonella, Lactobacillus, Bifidobacterium, Neisseria, Bacteroides, Haemophilus, Staphylococcus, Fusobacterium, Faecalibacterium prausnitzii, Enterobacteriaceae, Ruminococcaceae, Porphyromonas, Blautia, Acinetobacter, Bacteroidetes, Staphylococcus epidermidis, Propionibacterium acnes
Cognitive impairment: Prevotella, Corynebacterium, Lactobacillus, Streptococcus, Veillonella, Bifidobacterium, Bacteroides, Faecalibacterium prausnitzii, Staphylococcus, Neisseria, Haemophilus, Enterobacteriaceae, Blautia, Faecalibacterium, Ruminococcaceae, Roseburia, Fusobacterium, Acinetobacter, Bacteroidetes, Porphyromonas
Sarcopenia: Streptococcus, Prevotella, Veillonella, Corynebacterium, Lactobacillus, Bifidobacterium, Bacteroides, Staphylococcus, Enterobacteriaceae, Blautia, Faecalibacterium prausnitzii, Ruminococcaceae, Faecalibacterium, Roseburia, Haemophilus, Acinetobacter, Neisseria, Fusobacterium, Ruminococcus, Porphyromonas
