Spirochaetes: Breast Neoplasms, Mouth Neoplasms, Colorectal Neoplasms, Uterine Cervical Neoplasms, Pharyngeal Neoplasms, Pancreatic Neoplasms, Crohn Disease, Ulcerative Colitis, Urinary Bladder Neoplasms, Head and Neck Neoplasms, Lung Neoplasms, Constipation, Celiac Disease, Laryngeal Neoplasms, Parkinson Disease, Alzheimer Disease, Tongue Neoplasms, Stomach Neoplasms, Rectal Neoplasms, Irritable Bowel Syndrome
Clostridia: Lung Neoplasms, Stomach Neoplasms, Alzheimer Disease, Irritable Bowel Syndrome, Ulcerative Colitis, Liver Neoplasms, Crohn Disease, Celiac Disease, Colorectal Neoplasms, Pancreatic Neoplasms, Parkinson Disease, Thyroid Neoplasms, Esophageal Neoplasms, Constipation, Breast Neoplasms, Mouth Neoplasms, Inflammatory Bowel Diseases, Head and Neck Neoplasms, Uterine Cervical Neoplasms, Rectal Neoplasms
Clostridiales: Irritable Bowel Syndrome, Liver Neoplasms, Lung Neoplasms, Ulcerative Colitis, Stomach Neoplasms, Colorectal Neoplasms, Alzheimer Disease, Crohn Disease, Parkinson Disease, Celiac Disease, Pancreatic Neoplasms, Breast Neoplasms, Mouth Neoplasms, Uterine Cervical Neoplasms, Pharyngeal Neoplasms, Esophageal Neoplasms, Constipation, Head and Neck Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms
Collinsella: Lung Neoplasms, Irritable Bowel Syndrome, Ulcerative Colitis, Stomach Neoplasms, Colorectal Neoplasms, Crohn Disease, Alzheimer Disease, Liver Neoplasms, Parkinson Disease, Celiac Disease, Pancreatic Neoplasms, Breast Neoplasms, Mouth Neoplasms, Uterine Cervical Neoplasms, Pharyngeal Neoplasms, Constipation, Esophageal Neoplasms, Head and Neck Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms
Coriobacteriaceae: Lung Neoplasms, Stomach Neoplasms, Alzheimer Disease, Irritable Bowel Syndrome, Liver Neoplasms, Ulcerative Colitis, Colorectal Neoplasms, Celiac Disease, Crohn Disease, Pancreatic Neoplasms, Parkinson Disease, Breast Neoplasms, Mouth Neoplasms, Uterine Cervical Neoplasms, Constipation, Pharyngeal Neoplasms, Head and Neck Neoplasms, Esophageal Neoplasms, Thyroid Neoplasms, Rectal Neoplasms
Coriobacteriales: Irritable Bowel Syndrome, Colorectal Neoplasms, Lung Neoplasms, Alzheimer Disease, Liver Neoplasms, Ulcerative Colitis, Crohn Disease, Stomach Neoplasms, Parkinson Disease, Celiac Disease, Pancreatic Neoplasms, Breast Neoplasms, Mouth Neoplasms, Uterine Cervical Neoplasms, Pharyngeal Neoplasms, Urinary Bladder Neoplasms, Constipation, Head and Neck Neoplasms, Esophageal Neoplasms, Laryngeal Neoplasms
Coriobacteriia: Colorectal Neoplasms, Crohn Disease, Ulcerative Colitis, Irritable Bowel Syndrome, Lung Neoplasms, Alzheimer Disease, Liver Neoplasms, Stomach Neoplasms, Parkinson Disease, Celiac Disease, Pancreatic Neoplasms, Breast Neoplasms, Mouth Neoplasms, Uterine Cervical Neoplasms, Pharyngeal Neoplasms, Urinary Bladder Neoplasms, Head and Neck Neoplasms, Constipation, Laryngeal Neoplasms, Esophageal Neoplasms
Enterobacterales: Lung Neoplasms, Alzheimer Disease, Colorectal Neoplasms, Ulcerative Colitis, Crohn Disease, Stomach Neoplasms, Irritable Bowel Syndrome, Liver Neoplasms, Pancreatic Neoplasms, Celiac Disease, Breast Neoplasms, Mouth Neoplasms, Parkinson Disease, Uterine Cervical Neoplasms, Pharyngeal Neoplasms, Constipation, Head and Neck Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Laryngeal Neoplasms
Fusobacteriales: Colorectal Neoplasms, Ulcerative Colitis, Crohn Disease, Irritable Bowel Syndrome, Liver Neoplasms, Stomach Neoplasms, Alzheimer Disease, Lung Neoplasms, Celiac Disease, Pancreatic Neoplasms, Breast Neoplasms, Mouth Neoplasms, Parkinson Disease, Uterine Cervical Neoplasms, Pharyngeal Neoplasms, Urinary Bladder Neoplasms, Head and Neck Neoplasms, Constipation, Laryngeal Neoplasms, Esophageal Neoplasms
Fusobacteriia: Colorectal Neoplasms, Ulcerative Colitis, Crohn Disease, Lung Neoplasms, Alzheimer Disease, Irritable Bowel Syndrome, Liver Neoplasms, Stomach Neoplasms, Pancreatic Neoplasms, Celiac Disease, Breast Neoplasms, Mouth Neoplasms, Parkinson Disease, Uterine Cervical Neoplasms, Pharyngeal Neoplasms, Urinary Bladder Neoplasms, Head and Neck Neoplasms, Constipation, Laryngeal Neoplasms, Tongue Neoplasms
Gammaproteobacteria: Colorectal Neoplasms, Lung Neoplasms, Ulcerative Colitis, Alzheimer Disease, Crohn Disease, Stomach Neoplasms, Pancreatic Neoplasms, Celiac Disease, Liver Neoplasms, Irritable Bowel Syndrome, Breast Neoplasms, Mouth Neoplasms, Uterine Cervical Neoplasms, Pharyngeal Neoplasms, Parkinson Disease, Head and Neck Neoplasms, Constipation, Urinary Bladder Neoplasms, Laryngeal Neoplasms, Rectal Neoplasms
Hallella: Crohn Disease, Ulcerative Colitis, Breast Neoplasms, Mouth Neoplasms, Pancreatic Neoplasms, Colorectal Neoplasms, Lung Neoplasms, Alzheimer Disease, Parkinson Disease, Uterine Cervical Neoplasms, Pharyngeal Neoplasms, Urinary Bladder Neoplasms, Celiac Disease, Irritable Bowel Syndrome, Stomach Neoplasms, Liver Neoplasms, Head and Neck Neoplasms, Constipation, Laryngeal Neoplasms, Tongue Neoplasms
Lactobacillaceae: Lung Neoplasms, Alzheimer Disease, Colorectal Neoplasms, Ulcerative Colitis, Crohn Disease, Stomach Neoplasms, Pancreatic Neoplasms, Parkinson Disease, Irritable Bowel Syndrome, Liver Neoplasms, Celiac Disease, Breast Neoplasms, Mouth Neoplasms, Uterine Cervical Neoplasms, Constipation, Pharyngeal Neoplasms, Head and Neck Neoplasms, Thyroid Neoplasms, Esophageal Neoplasms, Rectal Neoplasms
Lactobacillales: Irritable Bowel Syndrome, Colorectal Neoplasms, Ulcerative Colitis, Crohn Disease, Alzheimer Disease, Lung Neoplasms, Liver Neoplasms, Stomach Neoplasms, Parkinson Disease, Celiac Disease, Pancreatic Neoplasms, Breast Neoplasms, Mouth Neoplasms, Uterine Cervical Neoplasms, Pharyngeal Neoplasms, Esophageal Neoplasms, Urinary Bladder Neoplasms, Constipation, Head and Neck Neoplasms, Laryngeal Neoplasms
Lactococcus: Colorectal Neoplasms, Ulcerative Colitis, Crohn Disease, Lung Neoplasms, Alzheimer Disease, Stomach Neoplasms, Irritable Bowel Syndrome, Liver Neoplasms, Parkinson Disease, Pancreatic Neoplasms, Celiac Disease, Breast Neoplasms, Mouth Neoplasms, Uterine Cervical Neoplasms, Pharyngeal Neoplasms, Constipation, Head and Neck Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Thyroid Neoplasms
Mollicutes: Crohn Disease, Ulcerative Colitis, Colorectal Neoplasms, Parkinson Disease, Lung Neoplasms, Pancreatic Neoplasms, Alzheimer Disease, Breast Neoplasms, Mouth Neoplasms, Irritable Bowel Syndrome, Liver Neoplasms, Stomach Neoplasms, Celiac Disease, Uterine Cervical Neoplasms, Pharyngeal Neoplasms, Urinary Bladder Neoplasms, Constipation, Head and Neck Neoplasms, Esophageal Neoplasms, Laryngeal Neoplasms
Peptococcaceae: Colorectal Neoplasms, Crohn Disease, Ulcerative Colitis, Irritable Bowel Syndrome, Lung Neoplasms, Stomach Neoplasms, Alzheimer Disease, Liver Neoplasms, Celiac Disease, Pancreatic Neoplasms, Breast Neoplasms, Mouth Neoplasms, Parkinson Disease, Uterine Cervical Neoplasms, Pharyngeal Neoplasms, Urinary Bladder Neoplasms, Head and Neck Neoplasms, Constipation, Laryngeal Neoplasms, Esophageal Neoplasms
Peptococcus: Crohn Disease, Ulcerative Colitis, Colorectal Neoplasms, Irritable Bowel Syndrome, Liver Neoplasms, Stomach Neoplasms, Alzheimer Disease, Lung Neoplasms, Celiac Disease, Pancreatic Neoplasms, Breast Neoplasms, Parkinson Disease, Mouth Neoplasms, Pharyngeal Neoplasms, Uterine Cervical Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Head and Neck Neoplasms, Constipation, Laryngeal Neoplasms
Roseburia: Thyroid Neoplasms, Lung Neoplasms, Esophageal Neoplasms, Stomach Neoplasms, Ulcerative Colitis, Crohn Disease, Alzheimer Disease, Colorectal Neoplasms, Irritable Bowel Syndrome, Parkinson Disease, Liver Neoplasms, Celiac Disease, Pancreatic Neoplasms, Constipation, Inflammatory Bowel Diseases, Breast Neoplasms, Prostatic Neoplasms, Mouth Neoplasms, Head and Neck Neoplasms, Rectal Neoplasms
Ruminococcaceae: Lung Neoplasms, Stomach Neoplasms, Alzheimer Disease, Ulcerative Colitis, Irritable Bowel Syndrome, Liver Neoplasms, Crohn Disease, Colorectal Neoplasms, Celiac Disease, Parkinson Disease, Pancreatic Neoplasms, Breast Neoplasms, Constipation, Mouth Neoplasms, Thyroid Neoplasms, Esophageal Neoplasms, Uterine Cervical Neoplasms, Head and Neck Neoplasms, Pharyngeal Neoplasms, Inflammatory Bowel Diseases
Ruminococcus: Stomach Neoplasms, Lung Neoplasms, Alzheimer Disease, Celiac Disease, Irritable Bowel Syndrome, Ulcerative Colitis, Liver Neoplasms, Colorectal Neoplasms, Crohn Disease, Pancreatic Neoplasms, Parkinson Disease, Breast Neoplasms, Constipation, Thyroid Neoplasms, Mouth Neoplasms, Esophageal Neoplasms, Uterine Cervical Neoplasms, Head and Neck Neoplasms, Pharyngeal Neoplasms, Rectal Neoplasms
Shigella: Crohn Disease, Ulcerative Colitis, Parkinson Disease, Colorectal Neoplasms, Breast Neoplasms, Pancreatic Neoplasms, Lung Neoplasms, Alzheimer Disease, Mouth Neoplasms, Irritable Bowel Syndrome, Liver Neoplasms, Stomach Neoplasms, Celiac Disease, Uterine Cervical Neoplasms, Pharyngeal Neoplasms, Urinary Bladder Neoplasms, Constipation, Head and Neck Neoplasms, Laryngeal Neoplasms, Coronary Artery Disease
Streptococcaceae: Lung Neoplasms, Alzheimer Disease, Pancreatic Neoplasms, Stomach Neoplasms, Colorectal Neoplasms, Breast Neoplasms, Ulcerative Colitis, Celiac Disease, Crohn Disease, Mouth Neoplasms, Liver Neoplasms, Irritable Bowel Syndrome, Parkinson Disease, Uterine Cervical Neoplasms, Pharyngeal Neoplasms, Constipation, Head and Neck Neoplasms, Thyroid Neoplasms, Esophageal Neoplasms, Rectal Neoplasms
Subdoligranulum: Lung Neoplasms, Pancreatic Neoplasms, Alzheimer Disease, Ulcerative Colitis, Colorectal Neoplasms, Stomach Neoplasms, Crohn Disease, Thyroid Neoplasms, Breast Neoplasms, Parkinson Disease, Constipation, Celiac Disease, Mouth Neoplasms, Irritable Bowel Syndrome, Esophageal Neoplasms, Liver Neoplasms, Uterine Cervical Neoplasms, Inflammatory Bowel Diseases, Head and Neck Neoplasms, Pharyngeal Neoplasms
Tenericutes: Colorectal Neoplasms, Crohn Disease, Ulcerative Colitis, Breast Neoplasms, Pancreatic Neoplasms, Mouth Neoplasms, Parkinson Disease, Lung Neoplasms, Alzheimer Disease, Uterine Cervical Neoplasms, Pharyngeal Neoplasms, Celiac Disease, Stomach Neoplasms, Irritable Bowel Syndrome, Urinary Bladder Neoplasms, Liver Neoplasms, Constipation, Head and Neck Neoplasms, Laryngeal Neoplasms, Rectal Neoplasms
Bacillus megaterium: Crohn Disease, Ulcerative Colitis, Parkinson Disease, Colorectal Neoplasms, Diarrhea, Irritable Bowel Syndrome, Coronary Artery Disease, Breast Neoplasms, Alzheimer Disease, Lung Neoplasms, Mouth Neoplasms, Atherosclerosis, Pancreatic Neoplasms, Liver Neoplasms, Hypertension, Coronary Heart Disease, Vascular Stiffness, Squamous Intraepithelial Lesions, Stomach Neoplasms, Uterine Cervical Neoplasms
Bacteroides fragilis: Crohn Disease, Colorectal Neoplasms, Ulcerative Colitis, Irritable Bowel Syndrome, Liver Neoplasms, Alzheimer Disease, Lung Neoplasms, Stomach Neoplasms, Parkinson Disease, Celiac Disease, Pancreatic Neoplasms, Breast Neoplasms, Mouth Neoplasms, Uterine Cervical Neoplasms, Pharyngeal Neoplasms, Esophageal Neoplasms, Urinary Bladder Neoplasms, Constipation, Head and Neck Neoplasms, Hypertension
Bacteroides zoogleoformans: Crohn Disease, Ulcerative Colitis, Colorectal Neoplasms, Parkinson Disease, Irritable Bowel Syndrome, Diarrhea, Liver Neoplasms, Coronary Artery Disease, Alzheimer Disease, Atherosclerosis, Celiac Disease, Mouth Neoplasms, Breast Neoplasms, Stomach Neoplasms, Lung Neoplasms, Vascular Stiffness, Ovarian Neoplasms, Squamous Intraepithelial Lesions, Coronary Heart Disease, Hypertension
Clostridioides difficile: Crohn Disease, Ulcerative Colitis, Colorectal Neoplasms, Irritable Bowel Syndrome, Liver Neoplasms, Stomach Neoplasms, Celiac Disease, Alzheimer Disease, Lung Neoplasms, Parkinson Disease, Pancreatic Neoplasms, Breast Neoplasms, Esophageal Neoplasms, Mouth Neoplasms, Diarrhea, Coronary Artery Disease, Uterine Cervical Neoplasms, Pharyngeal Neoplasms, Atherosclerosis, Hypertension
Enterococcus durans: Irritable Bowel Syndrome, Crohn Disease, Ulcerative Colitis, Liver Neoplasms, Stomach Neoplasms, Celiac Disease, Colorectal Neoplasms, Alzheimer Disease, Lung Neoplasms, Parkinson Disease, Esophageal Neoplasms, Pancreatic Neoplasms, Breast Neoplasms, Mouth Neoplasms, Uterine Cervical Neoplasms, Pharyngeal Neoplasms, Urinary Bladder Neoplasms, Constipation, Head and Neck Neoplasms, Diarrhea
Enterococcus faecium: Crohn Disease, Ulcerative Colitis, Colorectal Neoplasms, Parkinson Disease, Diarrhea, Coronary Artery Disease, Atherosclerosis, Vascular Stiffness, Squamous Intraepithelial Lesions, Coronary Heart Disease, Hypertension, Irritable Bowel Syndrome, Thrombosis, Prostatic Neoplasms, Celiac Disease, Mouth Neoplasms, Breast Neoplasms, Liver Neoplasms, Stomach Neoplasms, Alzheimer Disease
Enterococcus saccharolyticus: Crohn Disease, Colorectal Neoplasms, Ulcerative Colitis, Parkinson Disease, Irritable Bowel Syndrome, Liver Neoplasms, Stomach Neoplasms, Alzheimer Disease, Celiac Disease, Lung Neoplasms, Breast Neoplasms, Mouth Neoplasms, Pancreatic Neoplasms, Uterine Cervical Neoplasms, Pharyngeal Neoplasms, Diarrhea, Urinary Bladder Neoplasms, Esophageal Neoplasms, Coronary Artery Disease, Constipation
Limosilactobacillus fermentum: Crohn Disease, Ulcerative Colitis, Parkinson Disease, Colorectal Neoplasms, Lung Neoplasms, Alzheimer Disease, Irritable Bowel Syndrome, Liver Neoplasms, Pancreatic Neoplasms, Stomach Neoplasms, Breast Neoplasms, Mouth Neoplasms, Celiac Disease, Uterine Cervical Neoplasms, Pharyngeal Neoplasms, Urinary Bladder Neoplasms, Constipation, Head and Neck Neoplasms, Esophageal Neoplasms, Laryngeal Neoplasms
Lactobacillus ruminis: Crohn Disease, Ulcerative Colitis, Colorectal Neoplasms, Parkinson Disease, Lung Neoplasms, Pancreatic Neoplasms, Alzheimer Disease, Breast Neoplasms, Mouth Neoplasms, Irritable Bowel Syndrome, Liver Neoplasms, Coronary Artery Disease, Diarrhea, Atherosclerosis, Hypertension, Stomach Neoplasms, Uterine Cervical Neoplasms, Pharyngeal Neoplasms, Celiac Disease, Coronary Heart Disease
Listeria sp.: Crohn Disease, Ulcerative Colitis, Colorectal Neoplasms, Parkinson Disease, Irritable Bowel Syndrome, Diarrhea, Liver Neoplasms, Alzheimer Disease, Celiac Disease, Mouth Neoplasms, Breast Neoplasms, Coronary Artery Disease, Stomach Neoplasms, Lung Neoplasms, Atherosclerosis, Ovarian Neoplasms, Vascular Stiffness, Squamous Intraepithelial Lesions, Pancreatic Neoplasms, Coronary Heart Disease
Oenococcus oeni: Crohn Disease, Ulcerative Colitis, Colorectal Neoplasms, Parkinson Disease, Irritable Bowel Syndrome, Liver Neoplasms, Alzheimer Disease, Diarrhea, Lung Neoplasms, Celiac Disease, Ovarian Neoplasms, Stomach Neoplasms, Mouth Neoplasms, Breast Neoplasms, Coronary Artery Disease, Atherosclerosis, Pharyngeal Neoplasms, Urinary Bladder Neoplasms, Pancreatic Neoplasms, Uterine Cervical Neoplasms
Ruminococcus albus: Crohn Disease, Colorectal Neoplasms, Ulcerative Colitis, Diarrhea, Parkinson Disease, Coronary Artery Disease, Atherosclerosis, Hypertension, Breast Neoplasms, Mouth Neoplasms, Coronary Heart Disease, Pancreatic Neoplasms, Irritable Bowel Syndrome, Alzheimer Disease, Lung Neoplasms, Vascular Stiffness, Squamous Intraepithelial Lesions, Liver Neoplasms, Thrombosis, Stomach Neoplasms
Ruminococcus bromii: Crohn Disease, Ulcerative Colitis, Colorectal Neoplasms, Parkinson Disease, Lung Neoplasms, Alzheimer Disease, Pancreatic Neoplasms, Breast Neoplasms, Mouth Neoplasms, Irritable Bowel Syndrome, Liver Neoplasms, Stomach Neoplasms, Celiac Disease, Uterine Cervical Neoplasms, Pharyngeal Neoplasms, Urinary Bladder Neoplasms, Coronary Artery Disease, Hypertension, Diarrhea, Atherosclerosis
Ruminococcus callidus: Crohn Disease, Colorectal Neoplasms, Ulcerative Colitis, Parkinson Disease, Irritable Bowel Syndrome, Liver Neoplasms, Stomach Neoplasms, Alzheimer Disease, Lung Neoplasms, Celiac Disease, Pancreatic Neoplasms, Breast Neoplasms, Mouth Neoplasms, Uterine Cervical Neoplasms, Pharyngeal Neoplasms, Esophageal Neoplasms, Urinary Bladder Neoplasms, Constipation, Head and Neck Neoplasms, Laryngeal Neoplasms
Sphingomonas paucimobilis: Crohn Disease, Ulcerative Colitis, Colorectal Neoplasms, Parkinson Disease, Irritable Bowel Syndrome, Diarrhea, Liver Neoplasms, Alzheimer Disease, Celiac Disease, Ovarian Neoplasms, Lung Neoplasms, Stomach Neoplasms, Coronary Artery Disease, Atherosclerosis, Vascular Stiffness, Mouth Neoplasms, Squamous Intraepithelial Lesions, Breast Neoplasms, Pharyngeal Neoplasms, Urinary Bladder Neoplasms
Staphylococcus auricularis: Crohn Disease, Ulcerative Colitis, Colorectal Neoplasms, Parkinson Disease, Irritable Bowel Syndrome, Diarrhea, Coronary Artery Disease, Atherosclerosis, Vascular Stiffness, Squamous Intraepithelial Lesions, Coronary Heart Disease, Liver Neoplasms, Ovarian Neoplasms, Hypertension, Alzheimer Disease, Celiac Disease, Mouth Neoplasms, Breast Neoplasms, Lung Neoplasms, Stomach Neoplasms
Weissella viridescens: Crohn Disease, Ulcerative Colitis, Colorectal Neoplasms, Parkinson Disease, Irritable Bowel Syndrome, Diarrhea, Coronary Artery Disease, Atherosclerosis, Vascular Stiffness, Squamous Intraepithelial Lesions, Coronary Heart Disease, Liver Neoplasms, Hypertension, Ovarian Neoplasms, Alzheimer Disease, Celiac Disease, Mouth Neoplasms, Breast Neoplasms, Lung Neoplasms, Stomach Neoplasms
Pseudomonas luteola: Diarrhea, Atherosclerosis, Coronary Artery Disease, Vascular Stiffness, Squamous Intraepithelial Lesions, Coronary Heart Disease, Hypertension, Thrombosis, Prostatic Neoplasms, Ovarian Neoplasms, Amyotrophic Lateral Sclerosis, Peripheral Arterial Disease, Urinary Bladder Neoplasms, Gallbladder Neoplasms, Acute Lymphoblastic Leukemia, Esophageal Neoplasms, Laryngeal Neoplasms, Constipation, Endometrial Neoplasms, Pharyngeal Neoplasms
Desulfovibrio: Colorectal Neoplasms, Crohn Disease, Ulcerative Colitis, Lung Neoplasms, Alzheimer Disease, Stomach Neoplasms, Irritable Bowel Syndrome, Liver Neoplasms, Celiac Disease, Parkinson Disease, Pancreatic Neoplasms, Breast Neoplasms, Mouth Neoplasms, Uterine Cervical Neoplasms, Pharyngeal Neoplasms, Urinary Bladder Neoplasms, Head and Neck Neoplasms, Constipation, Laryngeal Neoplasms, Esophageal Neoplasms
Pseudomonas aeruginosa: Stomach Neoplasms, Celiac Disease, Liver Neoplasms, Irritable Bowel Syndrome, Alzheimer Disease, Lung Neoplasms, Breast Neoplasms, Mouth Neoplasms, Pancreatic Neoplasms, Colorectal Neoplasms, Uterine Cervical Neoplasms, Pharyngeal Neoplasms, Ulcerative Colitis, Urinary Bladder Neoplasms, Crohn Disease, Head and Neck Neoplasms, Laryngeal Neoplasms, Constipation, Tongue Neoplasms, Rectal Neoplasms
Bifidobacterium adolescentis: Irritable Bowel Syndrome, Crohn Disease, Ulcerative Colitis, Colorectal Neoplasms, Liver Neoplasms, Stomach Neoplasms, Alzheimer Disease, Lung Neoplasms, Celiac Disease, Parkinson Disease, Pancreatic Neoplasms, Breast Neoplasms, Mouth Neoplasms, Uterine Cervical Neoplasms, Pharyngeal Neoplasms, Esophageal Neoplasms, Urinary Bladder Neoplasms, Constipation, Head and Neck Neoplasms, Laryngeal Neoplasms
Dialister invisus: Crohn Disease, Colorectal Neoplasms, Ulcerative Colitis, Parkinson Disease, Irritable Bowel Syndrome, Liver Neoplasms, Stomach Neoplasms, Alzheimer Disease, Celiac Disease, Lung Neoplasms, Breast Neoplasms, Mouth Neoplasms, Pancreatic Neoplasms, Uterine Cervical Neoplasms, Pharyngeal Neoplasms, Diarrhea, Urinary Bladder Neoplasms, Esophageal Neoplasms, Constipation, Coronary Artery Disease
Bacteroides: Stomach Neoplasms, Lung Neoplasms, Celiac Disease, Alzheimer Disease, Pancreatic Neoplasms, Colorectal Neoplasms, Ulcerative Colitis, Crohn Disease, Breast Neoplasms, Irritable Bowel Syndrome, Liver Neoplasms, Mouth Neoplasms, Constipation, Parkinson Disease, Uterine Cervical Neoplasms, Head and Neck Neoplasms, Pharyngeal Neoplasms, Thyroid Neoplasms, Esophageal Neoplasms, Rectal Neoplasms
Papillibacter: Celiac Disease, Stomach Neoplasms, Irritable Bowel Syndrome, Liver Neoplasms, Alzheimer Disease, Esophageal Neoplasms, Lung Neoplasms, Breast Neoplasms, Mouth Neoplasms, Ulcerative Colitis, Pancreatic Neoplasms, Crohn Disease, Colorectal Neoplasms, Urinary Bladder Neoplasms, Uterine Cervical Neoplasms, Parkinson Disease, Pharyngeal Neoplasms, Diarrhea, Constipation, Ovarian Neoplasms
Chlamydia pneumoniae: Diarrhea, Atherosclerosis, Coronary Artery Disease, Vascular Stiffness, Squamous Intraepithelial Lesions, Coronary Heart Disease, Hypertension, Thrombosis, Peripheral Arterial Disease, Prostatic Neoplasms, Ovarian Neoplasms, Amyotrophic Lateral Sclerosis, Acute Lymphoblastic Leukemia, Gastroesophageal Reflux, Endometrial Neoplasms, Biliary Tract Neoplasms, Gallbladder Neoplasms, Diverticular Diseases, Gastroenteritis, Esophageal Neoplasms
