Collinsella aerofaciens: Irritable bowel syndrome(IBS), Liver cirrhosis, Bacterial Vaginosis, Crohn's disease(CD), Necrotizing Enterocolitis, Type 2 diabetes, Obesity, Clostridium difficile infection(CDI), Cystic fibrosis, Ileal Crohn's disease(CD), Psoriasis, Asthma, Periodontal, Systemic inflammatory response syndrome, COPD, Type 1 diabetes, Colorectal carcinoma, Guttate psoriasis, Ulcerative colitis, Atopic dermatitis
Swine fecal bacterium RF3E-Xyl1: Type 1 diabetes, Bacterial Vaginosis, Necrotizing Enterocolitis, Liver cirrhosis, Crohn's disease(CD), Irritable bowel syndrome(IBS), Type 2 diabetes, Clostridium difficile infection(CDI), Ileal Crohn's disease(CD), Periodontal, Psoriasis, Obesity, Systemic inflammatory response syndrome, Colorectal carcinoma, COPD, Asthma, Cystic fibrosis, Inflammatory bowel disease(IBD), Ulcerative colitis, Atopic dermatitis
Swine fecal bacterium SD-Pec1: Type 1 diabetes, Bacterial Vaginosis, Necrotizing Enterocolitis, Liver cirrhosis, Crohn's disease(CD), Irritable bowel syndrome(IBS), Type 2 diabetes, Clostridium difficile infection(CDI), Ileal Crohn's disease(CD), Periodontal, Psoriasis, Obesity, Systemic inflammatory response syndrome, Colorectal carcinoma, COPD, Asthma, Cystic fibrosis, Inflammatory bowel disease(IBD), Ulcerative colitis, Atopic dermatitis
Swine manure pit bacterium PPC108: Type 1 diabetes, Bacterial Vaginosis, Necrotizing Enterocolitis, Liver cirrhosis, Crohn's disease(CD), Irritable bowel syndrome(IBS), Type 2 diabetes, Clostridium difficile infection(CDI), Ileal Crohn's disease(CD), Periodontal, Psoriasis, Obesity, Systemic inflammatory response syndrome, Colorectal carcinoma, COPD, Asthma, Cystic fibrosis, Inflammatory bowel disease(IBD), Ulcerative colitis, Atopic dermatitis
Tenericutes: Type 1 diabetes, Bacterial Vaginosis, Necrotizing Enterocolitis, Liver cirrhosis, Crohn's disease(CD), Irritable bowel syndrome(IBS), Type 2 diabetes, Clostridium difficile infection(CDI), Ileal Crohn's disease(CD), Periodontal, Psoriasis, Obesity, Systemic inflammatory response syndrome, Colorectal carcinoma, COPD, Asthma, Cystic fibrosis, Inflammatory bowel disease(IBD), Ulcerative colitis, Atopic dermatitis
Terrahaemophilus: Type 1 diabetes, Bacterial Vaginosis, Necrotizing Enterocolitis, Liver cirrhosis, Crohn's disease(CD), Irritable bowel syndrome(IBS), Type 2 diabetes, Clostridium difficile infection(CDI), Ileal Crohn's disease(CD), Periodontal, Psoriasis, Obesity, Systemic inflammatory response syndrome, Colorectal carcinoma, COPD, Asthma, Cystic fibrosis, Inflammatory bowel disease(IBD), Ulcerative colitis, Atopic dermatitis
Unidentified bacterium ZF3: Type 1 diabetes, Bacterial Vaginosis, Necrotizing Enterocolitis, Liver cirrhosis, Crohn's disease(CD), Irritable bowel syndrome(IBS), Type 2 diabetes, Clostridium difficile infection(CDI), Ileal Crohn's disease(CD), Periodontal, Psoriasis, Obesity, Systemic inflammatory response syndrome, Colorectal carcinoma, COPD, Asthma, Cystic fibrosis, Inflammatory bowel disease(IBD), Ulcerative colitis, Atopic dermatitis
Verrucomicrobia: Type 1 diabetes, Bacterial Vaginosis, Necrotizing Enterocolitis, Liver cirrhosis, Crohn's disease(CD), Irritable bowel syndrome(IBS), Type 2 diabetes, Clostridium difficile infection(CDI), Ileal Crohn's disease(CD), Periodontal, Psoriasis, Obesity, Systemic inflammatory response syndrome, Colorectal carcinoma, COPD, Asthma, Cystic fibrosis, Inflammatory bowel disease(IBD), Ulcerative colitis, Atopic dermatitis
Verrucomicrobia bacterium MS-F-88: Type 1 diabetes, Bacterial Vaginosis, Necrotizing Enterocolitis, Liver cirrhosis, Crohn's disease(CD), Irritable bowel syndrome(IBS), Type 2 diabetes, Clostridium difficile infection(CDI), Ileal Crohn's disease(CD), Periodontal, Psoriasis, Obesity, Systemic inflammatory response syndrome, Colorectal carcinoma, COPD, Asthma, Cystic fibrosis, Inflammatory bowel disease(IBD), Ulcerative colitis, Atopic dermatitis
Vibrio: Type 1 diabetes, Bacterial Vaginosis, Necrotizing Enterocolitis, Liver cirrhosis, Crohn's disease(CD), Irritable bowel syndrome(IBS), Type 2 diabetes, Clostridium difficile infection(CDI), Ileal Crohn's disease(CD), Periodontal, Psoriasis, Obesity, Systemic inflammatory response syndrome, Colorectal carcinoma, COPD, Asthma, Cystic fibrosis, Inflammatory bowel disease(IBD), Ulcerative colitis, Atopic dermatitis
Yersinia: Type 1 diabetes, Bacterial Vaginosis, Necrotizing Enterocolitis, Liver cirrhosis, Crohn's disease(CD), Irritable bowel syndrome(IBS), Type 2 diabetes, Clostridium difficile infection(CDI), Ileal Crohn's disease(CD), Periodontal, Psoriasis, Obesity, Systemic inflammatory response syndrome, Colorectal carcinoma, COPD, Asthma, Cystic fibrosis, Inflammatory bowel disease(IBD), Ulcerative colitis, Atopic dermatitis
Staphylococcus epidermidis: Atopic dermatitis, Eczema, Diarrhea Irritable bowel syndrome(IBS), Kidney stones, Guttate psoriasis, New-onset untreated rheumatoid arthrits, Bacterial Vaginosis, Irritable bowel syndrome(IBS), Whipple's disease, Necrotizing Enterocolitis, Crohn's disease(CD), Liver cirrhosis, Allergy, Type 1 diabetes, Skin and mucosal infections, Gastro-oesophageal reflux, Type 2 diabetes, Atopic sensitisation, Allergic sensitization, Obesity
Burkholderia: Cystic fibrosis, Obesity, Bacterial Vaginosis, Necrotizing Enterocolitis, Asthma, Periodontal, Crohn's disease(CD), Irritable bowel syndrome(IBS), Psoriasis, Liver cirrhosis, Guttate psoriasis, COPD, Type 2 diabetes, Systemic inflammatory response syndrome, Ileal Crohn's disease(CD), Atopic dermatitis, Clostridium difficile infection(CDI), Eczema, Diarrhea Irritable bowel syndrome(IBS), Skin and mucosal infections
Actinomyces: Asthma, Periodontal, Psoriasis, Necrotizing Enterocolitis, COPD, Bacterial Vaginosis, Crohn's disease(CD), Irritable bowel syndrome(IBS), Liver cirrhosis, Type 2 diabetes, Obesity, Systemic inflammatory response syndrome, Cystic fibrosis, Ileal Crohn's disease(CD), Clostridium difficile infection(CDI), Colorectal carcinoma, Ulcerative colitis, Atopic dermatitis, Guttate psoriasis, Eczema
Selenomonas: Asthma, Periodontal, Psoriasis, Necrotizing Enterocolitis, COPD, Bacterial Vaginosis, Crohn's disease(CD), Irritable bowel syndrome(IBS), Liver cirrhosis, Type 2 diabetes, Obesity, Systemic inflammatory response syndrome, Cystic fibrosis, Ileal Crohn's disease(CD), Clostridium difficile infection(CDI), Colorectal carcinoma, Ulcerative colitis, Atopic dermatitis, Guttate psoriasis, Eczema
Leptotrichia amnionii: Bacterial Vaginosis, Irritable bowel syndrome(IBS), Liver cirrhosis, Crohn's disease(CD), Necrotizing Enterocolitis, Obesity, Cystic fibrosis, Type 2 diabetes, Psoriasis, Clostridium difficile infection(CDI), Ileal Crohn's disease(CD), Periodontal, Asthma, Systemic inflammatory response syndrome, COPD, Colorectal carcinoma, Type 1 diabetes, Ulcerative colitis, Atopic dermatitis, Guttate psoriasis
Verrucomicrobiaceae: Crohn's disease(CD), Necrotizing Enterocolitis, Type 2 diabetes, Bacterial Vaginosis, Irritable bowel syndrome(IBS), Clostridium difficile infection(CDI), Ileal Crohn's disease(CD), Liver cirrhosis, Systemic inflammatory response syndrome, Obesity, Psoriasis, Cystic fibrosis, Periodontal, Asthma, COPD, Colorectal carcinoma, Guttate psoriasis, Skin and mucosal infections, Atopic dermatitis, Ulcerative colitis
Acinetobacter: Crohn's disease(CD), Necrotizing Enterocolitis, Irritable bowel syndrome(IBS), Bacterial Vaginosis, Liver cirrhosis, Atopic dermatitis, Type 2 diabetes, Eczema, Diarrhea Irritable bowel syndrome(IBS), Kidney stones, Obesity, Systemic inflammatory response syndrome, Guttate psoriasis, New-onset untreated rheumatoid arthrits, Cystic fibrosis, Clostridium difficile infection(CDI), Psoriasis, Ileal Crohn's disease(CD), Periodontal, Allergy
Corynebacterium: Crohn's disease(CD), Necrotizing Enterocolitis, Bacterial Vaginosis, Irritable bowel syndrome(IBS), Liver cirrhosis, Type 2 diabetes, Atopic dermatitis, Eczema, Diarrhea Irritable bowel syndrome(IBS), Kidney stones, Systemic inflammatory response syndrome, Obesity, Guttate psoriasis, New-onset untreated rheumatoid arthrits, Ileal Crohn's disease(CD), Cystic fibrosis, Clostridium difficile infection(CDI), Psoriasis, Allergy, Periodontal
Prevotella copri: Atopic dermatitis, Eczema, Diarrhea Irritable bowel syndrome(IBS), Kidney stones, New-onset untreated rheumatoid arthrits, Crohn's disease(CD), Bacterial Vaginosis, Necrotizing Enterocolitis, Irritable bowel syndrome(IBS), Liver cirrhosis, Guttate psoriasis, Type 2 diabetes, Skin and mucosal infections, Type 1 diabetes, Obesity, Whipple's disease, Allergy, Cystic fibrosis, Atopic sensitisation, Systemic inflammatory response syndrome
Bacteroidales: Crohn's disease(CD), Necrotizing Enterocolitis, Type 2 diabetes, Bacterial Vaginosis, Irritable bowel syndrome(IBS), Liver cirrhosis, Ileal Crohn's disease(CD), Clostridium difficile infection(CDI), Systemic inflammatory response syndrome, Obesity, Psoriasis, Cystic fibrosis, Periodontal, Asthma, COPD, Colorectal carcinoma, Guttate psoriasis, Ulcerative colitis, Atopic dermatitis, Skin and mucosal infections
Erysipelotrichales: Crohn's disease(CD), Necrotizing Enterocolitis, Type 2 diabetes, Irritable bowel syndrome(IBS), Bacterial Vaginosis, Liver cirrhosis, Clostridium difficile infection(CDI), Ileal Crohn's disease(CD), Systemic inflammatory response syndrome, Obesity, Psoriasis, Cystic fibrosis, Periodontal, Asthma, COPD, Guttate psoriasis, Colorectal carcinoma, Skin and mucosal infections, Atopic dermatitis, Gastric and duodenal ulcer
Tannerella: Liver cirrhosis, Irritable bowel syndrome(IBS), Crohn's disease(CD), Necrotizing Enterocolitis, Type 2 diabetes, Bacterial Vaginosis, Clostridium difficile infection(CDI), Asthma, Ileal Crohn's disease(CD), Periodontal, Psoriasis, Systemic inflammatory response syndrome, COPD, Type 1 diabetes, Obesity, Cystic fibrosis, Colorectal carcinoma, Guttate psoriasis, Atopic dermatitis, Ulcerative colitis
Alistipes finegoldii: Liver cirrhosis, Irritable bowel syndrome(IBS), Bacterial Vaginosis, Clostridium difficile infection(CDI), Type 1 diabetes, Crohn's disease(CD), Necrotizing Enterocolitis, Type 2 diabetes, Ileal Crohn's disease(CD), Obesity, Psoriasis, Periodontal, Cystic fibrosis, Asthma, Systemic inflammatory response syndrome, COPD, Colorectal carcinoma, Atopic dermatitis, Guttate psoriasis, Ulcerative colitis
Alistipes putredinis: Liver cirrhosis, Irritable bowel syndrome(IBS), Bacterial Vaginosis, Clostridium difficile infection(CDI), Type 1 diabetes, Crohn's disease(CD), Necrotizing Enterocolitis, Type 2 diabetes, Ileal Crohn's disease(CD), Obesity, Psoriasis, Periodontal, Cystic fibrosis, Asthma, Systemic inflammatory response syndrome, COPD, Colorectal carcinoma, Atopic dermatitis, Guttate psoriasis, Ulcerative colitis
Bacteroides eggerthii: Liver cirrhosis, Irritable bowel syndrome(IBS), Bacterial Vaginosis, Clostridium difficile infection(CDI), Crohn's disease(CD), Type 1 diabetes, Necrotizing Enterocolitis, Type 2 diabetes, Ileal Crohn's disease(CD), Obesity, Psoriasis, Periodontal, Cystic fibrosis, Asthma, COPD, Systemic inflammatory response syndrome, Colorectal carcinoma, Atopic dermatitis, Guttate psoriasis, Ulcerative colitis
Bacteroides finegoldii: Liver cirrhosis, Irritable bowel syndrome(IBS), Bacterial Vaginosis, Clostridium difficile infection(CDI), Crohn's disease(CD), Type 1 diabetes, Necrotizing Enterocolitis, Type 2 diabetes, Ileal Crohn's disease(CD), Obesity, Psoriasis, Periodontal, Cystic fibrosis, Asthma, COPD, Systemic inflammatory response syndrome, Colorectal carcinoma, Atopic dermatitis, Guttate psoriasis, Ulcerative colitis
Bacteroides sp. D20: Liver cirrhosis, Irritable bowel syndrome(IBS), Bacterial Vaginosis, Clostridium difficile infection(CDI), Crohn's disease(CD), Type 1 diabetes, Necrotizing Enterocolitis, Type 2 diabetes, Ileal Crohn's disease(CD), Obesity, Psoriasis, Periodontal, Cystic fibrosis, Asthma, COPD, Systemic inflammatory response syndrome, Colorectal carcinoma, Atopic dermatitis, Guttate psoriasis, Ulcerative colitis
Bilophila: Liver cirrhosis, Irritable bowel syndrome(IBS), Bacterial Vaginosis, Clostridium difficile infection(CDI), Crohn's disease(CD), Type 1 diabetes, Necrotizing Enterocolitis, Type 2 diabetes, Ileal Crohn's disease(CD), Obesity, Psoriasis, Periodontal, Cystic fibrosis, Asthma, COPD, Systemic inflammatory response syndrome, Colorectal carcinoma, Atopic dermatitis, Guttate psoriasis, Ulcerative colitis
Bilophila wadsworthia: Liver cirrhosis, Irritable bowel syndrome(IBS), Bacterial Vaginosis, Clostridium difficile infection(CDI), Crohn's disease(CD), Type 1 diabetes, Necrotizing Enterocolitis, Type 2 diabetes, Ileal Crohn's disease(CD), Obesity, Psoriasis, Periodontal, Cystic fibrosis, Asthma, COPD, Systemic inflammatory response syndrome, Colorectal carcinoma, Atopic dermatitis, Guttate psoriasis, Ulcerative colitis
Eubacterium hallii: Liver cirrhosis, Irritable bowel syndrome(IBS), Bacterial Vaginosis, Clostridium difficile infection(CDI), Type 1 diabetes, Crohn's disease(CD), Necrotizing Enterocolitis, Type 2 diabetes, Ileal Crohn's disease(CD), Obesity, Psoriasis, Periodontal, Cystic fibrosis, Asthma, Systemic inflammatory response syndrome, COPD, Colorectal carcinoma, Atopic dermatitis, Guttate psoriasis, Ulcerative colitis
Holdemania: Liver cirrhosis, Irritable bowel syndrome(IBS), Bacterial Vaginosis, Clostridium difficile infection(CDI), Type 1 diabetes, Crohn's disease(CD), Necrotizing Enterocolitis, Type 2 diabetes, Ileal Crohn's disease(CD), Obesity, Psoriasis, Periodontal, Cystic fibrosis, Asthma, Systemic inflammatory response syndrome, COPD, Colorectal carcinoma, Atopic dermatitis, Guttate psoriasis, Ulcerative colitis
Lactobacillus salivarius: Liver cirrhosis, Irritable bowel syndrome(IBS), Bacterial Vaginosis, Clostridium difficile infection(CDI), Crohn's disease(CD), Type 1 diabetes, Necrotizing Enterocolitis, Type 2 diabetes, Ileal Crohn's disease(CD), Obesity, Psoriasis, Periodontal, Cystic fibrosis, Asthma, COPD, Systemic inflammatory response syndrome, Colorectal carcinoma, Atopic dermatitis, Guttate psoriasis, Ulcerative colitis
Odoribacter splanchnicus: Liver cirrhosis, Irritable bowel syndrome(IBS), Bacterial Vaginosis, Clostridium difficile infection(CDI), Type 1 diabetes, Crohn's disease(CD), Necrotizing Enterocolitis, Type 2 diabetes, Ileal Crohn's disease(CD), Obesity, Psoriasis, Periodontal, Cystic fibrosis, Asthma, Systemic inflammatory response syndrome, COPD, Colorectal carcinoma, Atopic dermatitis, Guttate psoriasis, Ulcerative colitis
Parabacteroides distasonis: Liver cirrhosis, Irritable bowel syndrome(IBS), Bacterial Vaginosis, Clostridium difficile infection(CDI), Type 1 diabetes, Crohn's disease(CD), Necrotizing Enterocolitis, Type 2 diabetes, Ileal Crohn's disease(CD), Obesity, Psoriasis, Periodontal, Cystic fibrosis, Asthma, Systemic inflammatory response syndrome, COPD, Colorectal carcinoma, Atopic dermatitis, Guttate psoriasis, Ulcerative colitis
Parabacteroides merdae: Liver cirrhosis, Irritable bowel syndrome(IBS), Bacterial Vaginosis, Crohn's disease(CD), Clostridium difficile infection(CDI), Type 1 diabetes, Necrotizing Enterocolitis, Type 2 diabetes, Ileal Crohn's disease(CD), Obesity, Psoriasis, Periodontal, Cystic fibrosis, Asthma, COPD, Systemic inflammatory response syndrome, Colorectal carcinoma, Atopic dermatitis, Guttate psoriasis, Ulcerative colitis
Roseburia hominis: Liver cirrhosis, Irritable bowel syndrome(IBS), Bacterial Vaginosis, Crohn's disease(CD), Clostridium difficile infection(CDI), Type 1 diabetes, Necrotizing Enterocolitis, Type 2 diabetes, Ileal Crohn's disease(CD), Obesity, Psoriasis, Periodontal, Cystic fibrosis, Asthma, Systemic inflammatory response syndrome, COPD, Colorectal carcinoma, Atopic dermatitis, Ulcerative colitis, Guttate psoriasis
Roseburia intestinalis: Liver cirrhosis, Irritable bowel syndrome(IBS), Bacterial Vaginosis, Crohn's disease(CD), Type 1 diabetes, Clostridium difficile infection(CDI), Necrotizing Enterocolitis, Type 2 diabetes, Ileal Crohn's disease(CD), Obesity, Psoriasis, Periodontal, Cystic fibrosis, Asthma, Systemic inflammatory response syndrome, COPD, Colorectal carcinoma, Atopic dermatitis, Ulcerative colitis, Guttate psoriasis
Ruminococcus gnavus: Liver cirrhosis, Irritable bowel syndrome(IBS), Bacterial Vaginosis, Crohn's disease(CD), Type 1 diabetes, Clostridium difficile infection(CDI), Necrotizing Enterocolitis, Type 2 diabetes, Ileal Crohn's disease(CD), Obesity, Psoriasis, Periodontal, Cystic fibrosis, Asthma, Systemic inflammatory response syndrome, COPD, Colorectal carcinoma, Atopic dermatitis, Ulcerative colitis, Guttate psoriasis
Streptococcus anginosus: Liver cirrhosis, Irritable bowel syndrome(IBS), Bacterial Vaginosis, Type 1 diabetes, Crohn's disease(CD), Necrotizing Enterocolitis, Clostridium difficile infection(CDI), Type 2 diabetes, Ileal Crohn's disease(CD), Obesity, Psoriasis, Periodontal, Cystic fibrosis, Systemic inflammatory response syndrome, Asthma, COPD, Colorectal carcinoma, Atopic dermatitis, Ulcerative colitis, Guttate psoriasis
Streptococcus parasanguinis: Liver cirrhosis, Irritable bowel syndrome(IBS), Bacterial Vaginosis, Crohn's disease(CD), Necrotizing Enterocolitis, Type 1 diabetes, Clostridium difficile infection(CDI), Type 2 diabetes, Obesity, Ileal Crohn's disease(CD), Psoriasis, Cystic fibrosis, Periodontal, Asthma, Systemic inflammatory response syndrome, COPD, Colorectal carcinoma, Ulcerative colitis, Atopic dermatitis, Inflammatory bowel disease(IBD)
Streptococcus salivarius: Liver cirrhosis, Irritable bowel syndrome(IBS), Bacterial Vaginosis, Crohn's disease(CD), Necrotizing Enterocolitis, Type 1 diabetes, Clostridium difficile infection(CDI), Type 2 diabetes, Ileal Crohn's disease(CD), Obesity, Psoriasis, Cystic fibrosis, Periodontal, Asthma, Systemic inflammatory response syndrome, COPD, Colorectal carcinoma, Ulcerative colitis, Atopic dermatitis, Inflammatory bowel disease(IBD)
Streptococcus vestibularis: Liver cirrhosis, Irritable bowel syndrome(IBS), Bacterial Vaginosis, Crohn's disease(CD), Necrotizing Enterocolitis, Type 1 diabetes, Clostridium difficile infection(CDI), Type 2 diabetes, Ileal Crohn's disease(CD), Obesity, Psoriasis, Cystic fibrosis, Periodontal, Systemic inflammatory response syndrome, Asthma, COPD, Colorectal carcinoma, Ulcerative colitis, Atopic dermatitis, Inflammatory bowel disease(IBD)
Veillonella atypica: Liver cirrhosis, Irritable bowel syndrome(IBS), Bacterial Vaginosis, Crohn's disease(CD), Necrotizing Enterocolitis, Type 1 diabetes, Type 2 diabetes, Clostridium difficile infection(CDI), Ileal Crohn's disease(CD), Obesity, Psoriasis, Cystic fibrosis, Periodontal, Systemic inflammatory response syndrome, Asthma, COPD, Colorectal carcinoma, Ulcerative colitis, Atopic dermatitis, Inflammatory bowel disease(IBD)
Veillonella dispar: Liver cirrhosis, Irritable bowel syndrome(IBS), Bacterial Vaginosis, Crohn's disease(CD), Necrotizing Enterocolitis, Type 1 diabetes, Clostridium difficile infection(CDI), Type 2 diabetes, Ileal Crohn's disease(CD), Obesity, Psoriasis, Cystic fibrosis, Periodontal, Asthma, Systemic inflammatory response syndrome, COPD, Colorectal carcinoma, Ulcerative colitis, Atopic dermatitis, Inflammatory bowel disease(IBD)
Veillonella parvula: Liver cirrhosis, Irritable bowel syndrome(IBS), Bacterial Vaginosis, Crohn's disease(CD), Necrotizing Enterocolitis, Type 1 diabetes, Type 2 diabetes, Clostridium difficile infection(CDI), Ileal Crohn's disease(CD), Obesity, Psoriasis, Cystic fibrosis, Periodontal, Systemic inflammatory response syndrome, Asthma, COPD, Colorectal carcinoma, Ulcerative colitis, Atopic dermatitis, Inflammatory bowel disease(IBD)
